index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
35,20220926_171425,1664237665.076131340,1664237667.156989570,0.000000,-36.500,80.000,-2.250000,11.367,8.442,-2.250000,-25.133,88.442,-5.281460E+1,2.787100E+2,6.723400E-1,8.018728E-3,0.000000E+0,6.979828E-3
36,20220926_171437,1664237677.747934340,1664237679.828343390,0.000000,-36.500,100.000,-2.250000,11.367,8.442,-2.250000,-25.133,108.442,-4.028020E+1,2.795420E+2,2.720800E-1,2.788727E-2,4.472136E-3,1.035267E-1
37,20220926_171452,1664237692.770451070,1664237694.851972580,0.000000,-36.500,120.000,-2.250000,11.367,8.442,-2.250000,-25.133,128.442,-2.531360E+1,2.791200E+2,2.811000E-1,3.110145E-2,0.000000E+0,2.149640E-2
38,20220926_171858,1664237938.154737470,1664237940.235507010,20.000000,-36.500,40.000,-2.250000,11.367,8.442,17.750000,-25.133,48.442,-6.212380E+1,2.809260E+2,1.158090E+1,2.649906E-2,1.140175E-2,1.048451E-2
39,20220926_171907,1664237947.543452740,1664237949.623529430,20.000000,-36.500,60.000,-2.250000,11.367,8.442,17.750000,-25.133,68.442,-5.583880E+1,2.719400E+2,1.250964E+1,8.167007E-3,0.000000E+0,1.991213E-2
40,20220926_171914,1664237954.538891320,1664237956.618942260,20.000000,-36.500,80.000,-2.250000,11.367,8.442,17.750000,-25.133,88.442,-4.614520E+1,2.677300E+2,9.073120E+0,5.480146E-2,7.071068E-3,3.935317E-2
41,20220926_171922,1664237962.637442590,1664237964.718433380,20.000000,-36.500,100.000,-2.250000,11.367,8.442,17.750000,-25.133,108.442,-3.239540E+1,2.658620E+2,5.915980E+0,1.445936E-1,2.683282E-2,1.204166E-1
42,20220926_171936,1664237976.717190270,1664237978.798563000,20.000000,-36.500,120.000,-2.250000,11.367,8.442,17.750000,-25.133,128.442,-1.926160E+1,2.642760E+2,-4.309000E-1,8.595813E-2,1.140175E-2,4.189201E-1
43,20220926_172607,1664238367.839576720,1664238370.357542990,40.000000,-36.500,40.000,-2.250000,11.367,8.442,37.750000,-25.133,48.442,-6.631900E+1,2.757200E+2,2.249920E+1,3.618011E-2,2.828427E-2,1.339186E-1
44,20220926_172616,1664238376.255716800,1664238378.335484030,40.000000,-36.500,60.000,-2.250000,11.367,8.442,37.750000,-25.133,68.442,-5.549780E+1,2.613880E+2,2.106460E+1,5.018167E-2,4.472136E-3,3.626706E-2
45,20220926_172623,1664238383.964818480,1664238386.457771300,40.000000,-36.500,80.000,-2.250000,11.367,8.442,37.750000,-25.133,88.442,-4.188440E+1,2.552180E+2,1.411794E+1,3.609432E-2,4.472136E-3,4.422056E-2
46,20220926_172632,1664238392.415965560,1664238394.496552940,40.000000,-36.500,100.000,-2.250000,11.367,8.442,37.750000,-25.133,108.442,-2.940420E+1,2.533520E+2,6.978080E+0,4.273991E-2,8.366600E-3,1.174913E-2
47,20220926_172644,1664238404.631263260,1664238407.124348640,40.000000,-36.500,120.000,-2.250000,11.367,8.442,37.750000,-25.133,128.442,-1.630032E+1,2.524540E+2,2.178880E+0,4.732290E-2,1.516575E-2,6.543678E-2
