index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
33,20220923_171629,1663978589.307088850,1663978591.386871340,40.000000,80.000,160.000,-2.250000,11.367,8.442,37.750000,91.367,168.442,-2.822700E+1,2.320360E+2,-3.528840E+1,3.640742E-2,5.477226E-3,8.202926E-2
34,20220923_171637,1663978597.512880800,1663978600.006166460,40.000000,80.000,200.000,-2.250000,11.367,8.442,37.750000,91.367,208.442,-1.636068E+1,2.366420E+2,-3.242760E+1,6.523287E-2,1.483240E-2,4.529128E-2
35,20220923_171736,1663978656.777632710,1663978659.295639990,0.000000,80.000,40.000,-2.250000,11.367,8.442,-2.250000,91.367,48.442,-7.458120E+1,2.046960E+2,-3.545880E+1,1.209132E-2,5.477226E-3,9.011104E-3
36,20220923_171747,1663978667.174939160,1663978669.257108690,0.000000,80.000,80.000,-2.250000,11.367,8.442,-2.250000,91.367,88.442,-6.154300E+1,2.239660E+2,-4.109600E+1,1.469303E-1,3.781534E-2,2.725803E-2
37,20220923_171756,1663978676.140337470,1663978678.220457550,0.000000,80.000,120.000,-2.250000,11.367,8.442,-2.250000,91.367,128.442,-4.582220E+1,2.374760E+2,-4.072160E+1,5.716380E-2,1.297305E-1,7.598726E-1
38,20220923_171806,1663978686.599396710,1663978688.680430410,0.000000,80.000,160.000,-2.250000,11.367,8.442,-2.250000,91.367,168.442,-3.432900E+1,2.450460E+2,-3.688640E+1,4.488875E-2,1.140175E-2,7.209924E-2
39,20220923_171815,1663978695.079723360,1663978697.160496230,0.000000,80.000,200.000,-2.250000,11.367,8.442,-2.250000,91.367,208.442,-1.936660E+1,2.494720E+2,-3.311440E+1,8.713381E-2,8.366600E-3,7.328574E-2
40,20220923_171910,1663978750.112320900,1663978752.194527150,-40.000000,80.000,40.000,-2.250000,11.367,8.442,-42.250000,91.367,48.442,-8.399700E+1,2.198700E+2,-4.396360E+1,4.665833E-2,1.000000E-2,1.405535E-1
41,20220923_171921,1663978761.592601780,1663978763.675831790,-40.000000,80.000,80.000,-2.250000,11.367,8.442,-42.250000,91.367,88.442,-6.612740E+1,2.393320E+2,-4.711980E+1,2.973718E-2,1.095445E-2,5.390918E-2
42,20220923_171929,1663978769.695851330,1663978771.776330470,-40.000000,80.000,120.000,-2.250000,11.367,8.442,-42.250000,91.367,128.442,-4.969580E+1,2.524040E+2,-4.346820E+1,7.185193E-2,2.073644E-2,2.283620E-1
43,20220923_171938,1663978778.895670410,1663978780.976509570,-40.000000,80.000,160.000,-2.250000,11.367,8.442,-42.250000,91.367,168.442,-3.635720E+1,2.591640E+2,-3.897100E+1,4.175763E-2,5.477226E-3,2.956349E-2
44,20220923_171947,1663978787.800583840,1663978789.881918430,-40.000000,80.000,200.000,-2.250000,11.367,8.442,-42.250000,91.367,208.442,-2.147320E+1,2.627180E+2,-3.436140E+1,4.320575E-1,8.366600E-3,1.149730E-1
