INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
100,20220923_153257,1663972377.620416640,3746817177.620416640,11.89470,97.98235,29.92012,-163.64008,-185.13087,-359.08360,60.84731,92.43761,3.50758
101,20220923_153258,1663972378.120106220,3746817178.120106220,11.88928,97.97742,29.91889,-163.64772,-185.12199,-359.08411,60.85310,92.43588,3.51264
102,20220923_153258,1663972378.620692730,3746817178.620692730,11.89261,97.97582,29.91963,-163.64119,-185.12298,-359.07757,60.84965,92.42972,3.50857
103,20220923_153259,1663972379.120558260,3746817179.120558260,11.89051,97.98051,29.91507,-163.64710,-185.12113,-359.08053,60.84768,92.43563,3.51313
104,20220923_153259,1663972379.620089530,3746817179.620089530,11.88595,97.97952,29.92074,-163.65438,-185.12963,-359.07943,60.85113,92.43539,3.50462
105,20220923_153300,1663972380.120779990,3746817180.120779990,11.88977,97.98087,29.92037,-163.64440,-185.12224,-359.07400,60.85482,92.43724,3.51387
106,20220923_153300,1663972380.620543960,3746817180.620543960,11.88558,97.98433,29.91975,-163.64526,-185.12508,-359.07364,60.84928,92.43711,3.51042
107,20220923_153301,1663972381.120736600,3746817181.120736600,11.89322,97.97212,29.92012,-163.63922,-185.11806,-359.07512,60.85297,92.43847,3.51535
108,20220923_153301,1663972381.620668890,3746817181.620668890,11.88718,97.97323,29.91926,-163.64809,-185.12815,-359.08041,60.84731,92.44217,3.51436
109,20220923_153302,1663972382.120627400,3746817182.120627400,11.89396,97.98174,29.91680,-163.64378,-185.12655,-359.08127,60.85039,92.44463,3.51362
110,20220923_153302,1663972382.620732780,3746817182.620732780,11.88435,97.98001,29.92136,-163.64341,-185.12138,-359.09088,60.85014,92.43514,3.51276
111,20220923_153303,1663972383.120881560,3746817183.120881560,11.88928,97.97533,29.91889,-163.64994,-185.12532,-359.08153,60.84878,92.43872,3.51103
112,20220923_153303,1663972383.620299340,3746817183.620299340,11.88275,97.97668,29.91532,-163.65006,-185.12508,-359.08508,60.85643,92.43958,3.51165
113,20220923_153304,1663972384.120421410,3746817184.120421410,11.89667,97.97730,29.92062,-163.65056,-185.12421,-359.08213,60.85507,92.43761,3.50894
114,20220923_153304,1663972384.620195390,3746817184.620195390,11.88546,97.98223,29.92394,-163.64193,-185.12224,-359.07769,60.84854,92.43995,3.51411
115,20220923_153305,1663972385.120121480,3746817185.120121480,11.88509,97.97471,29.92222,-163.64710,-185.12323,-359.08017,60.84644,92.43909,3.51128
116,20220923_153305,1663972385.621339320,3746817185.621339320,11.88928,97.97163,29.91852,-163.64501,-185.12150,-359.08360,60.85556,92.43588,3.50844
117,20220923_153306,1663972386.121364120,3746817186.121364120,11.88706,97.97816,29.91827,-163.64588,-185.12790,-359.08496,60.85396,92.43613,3.51177
