INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
2281,20220923_171652,1663978612.559955120,3746823412.559955120,10.96343,90.45023,27.43365,-162.91928,-187.01134,-362.25166,60.78754,81.08661,9.30681
2282,20220923_171653,1663978613.060055260,3746823413.060055250,10.96626,90.44961,27.44030,-162.91879,-187.00702,-362.24144,60.78310,81.08291,9.29929
2283,20220923_171653,1663978613.561036590,3746823413.561036590,10.96959,90.44690,27.44314,-162.91842,-187.00628,-362.23984,60.78557,81.08649,9.30730
2284,20220923_171654,1663978614.061011310,3746823414.061011310,10.96281,90.45072,27.43846,-162.92224,-187.01122,-362.23750,60.78051,81.08427,9.30767
2285,20220923_171654,1663978614.560375210,3746823414.560375210,10.96466,90.45109,27.43562,-162.91337,-187.00604,-362.23738,60.78569,81.07848,9.30483
2286,20220923_171655,1663978615.061017040,3746823415.061017040,10.96084,90.45171,27.43464,-162.91498,-187.01392,-362.23898,60.78187,81.08427,9.30052
2287,20220923_171655,1663978615.560837750,3746823415.560837740,10.96725,90.46193,27.43648,-162.92286,-187.00863,-362.24747,60.78286,81.08217,9.30533
2288,20220923_171656,1663978616.060645580,3746823416.060645580,10.96762,90.45627,27.43895,-162.91794,-187.00961,-362.24859,60.78064,81.08341,9.30175
2289,20220923_171656,1663978616.560379980,3746823416.560379980,10.96158,90.44690,27.44030,-162.92138,-187.00998,-362.24906,60.78212,81.08612,9.30188
2290,20220923_171657,1663978617.060910220,3746823417.060910220,10.96195,90.44986,27.44006,-162.91683,-187.00727,-362.24291,60.78310,81.08538,9.30385
2291,20220923_171657,1663978617.560939310,3746823417.560939310,10.96552,90.45331,27.44030,-162.92224,-187.01233,-362.24611,60.78236,81.08612,9.30373
2292,20220923_171658,1663978618.060736660,3746823418.060736660,10.96158,90.45010,27.44240,-162.91879,-187.01417,-362.23786,60.78606,81.08636,9.30681
2293,20220923_171658,1663978618.560431960,3746823418.560431960,10.96528,90.45244,27.43821,-162.91769,-187.01109,-362.24020,60.78027,81.08846,9.30459
2294,20220923_171659,1663978619.060500620,3746823419.060500620,10.95973,90.44542,27.43439,-162.91300,-187.01258,-362.24167,60.78421,81.08488,9.30471
2295,20220923_171659,1663978619.560895920,3746823419.560895920,10.96380,90.45146,27.43106,-162.92076,-187.01023,-362.24108,60.78631,81.08377,9.30841
2296,20220923_171700,1663978620.060794350,3746823420.060794350,10.96355,90.45084,27.43981,-162.92286,-187.01332,-362.24155,60.78606,81.08760,9.30447
2297,20220923_171700,1663978620.560095790,3746823420.560095790,10.96281,90.45010,27.44067,-162.91978,-187.01355,-362.24205,60.78027,81.09105,9.30841
2298,20220923_171701,1663978621.060795310,3746823421.060795310,10.96158,90.44641,27.43525,-162.91867,-187.01208,-362.24229,60.78557,81.08747,9.30533
2299,20220923_171701,1663978621.560279850,3746823421.560279840,10.96700,90.45158,27.43562,-162.91473,-187.01035,-362.23934,60.78224,81.08143,9.30607
2300,20220923_171702,1663978622.060262200,3746823422.060262200,10.95850,90.45010,27.43722,-162.91707,-187.01011,-362.24093,60.77645,81.08735,9.30447
2301,20220923_171702,1663978622.560345650,3746823422.560345650,10.96232,90.45244,27.43735,-162.91794,-187.01553,-362.24575,60.77977,81.08538,9.30841
2302,20220923_171703,1663978623.060515400,3746823423.060515400,10.95517,90.44752,27.43624,-162.92064,-187.01109,-362.24968,60.77990,81.08981,9.31223
2303,20220923_171703,1663978623.560659410,3746823423.560659410,10.96663,90.44542,27.43488,-162.91990,-187.01417,-362.24389,60.77793,81.08698,9.30656
2304,20220923_171704,1663978624.061939240,3746823424.061939240,10.96220,90.44628,27.43303,-162.91928,-187.00727,-362.24625,60.78088,81.08008,9.30348
2305,20220923_171704,1663978624.561305520,3746823424.561305520,10.96750,90.44949,27.43464,-162.91990,-187.01664,-362.24611,60.78372,81.08649,9.30311
2306,20220923_171705,1663978625.061559200,3746823425.061559200,10.96331,90.44591,27.43574,-162.91953,-187.00998,-362.24551,60.78532,81.08464,9.30668
2307,20220923_171705,1663978625.561985020,3746823425.561985010,10.96478,90.45516,27.43155,-162.91448,-187.01429,-362.24871,60.78557,81.08525,9.30323
2308,20220923_171706,1663978626.061900620,3746823426.061900610,10.96737,90.44431,27.43685,-162.91806,-187.00949,-362.24513,60.78433,81.08279,9.29929
2309,20220923_171706,1663978626.561929700,3746823426.561929700,10.96552,90.45158,27.43710,-162.91965,-187.00690,-362.24575,60.78409,81.08944,9.30619
2310,20220923_171707,1663978627.062736990,3746823427.062736990,10.96971,90.45047,27.43500,-162.92446,-187.01171,-362.24303,60.79037,81.08291,9.30052
2311,20220923_171707,1663978627.562690260,3746823427.562690260,10.96072,90.45035,27.43895,-162.91695,-187.00813,-362.24933,60.78815,81.08562,9.30040
2312,20220923_171708,1663978628.062892910,3746823428.062892910,10.96059,90.44604,27.43513,-162.91720,-187.01085,-362.24735,60.78569,81.08464,9.30619
2313,20220923_171708,1663978628.562469480,3746823428.562469480,10.96589,90.44825,27.43192,-162.91879,-187.00727,-362.25030,60.77891,81.08538,9.30668
2314,20220923_171709,1663978629.062466620,3746823429.062466620,10.96725,90.45269,27.43821,-162.91842,-187.01466,-362.24403,60.78396,81.08821,9.30200
2315,20220923_171709,1663978629.563200950,3746823429.563200950,10.96454,90.45343,27.43944,-162.92138,-187.00801,-362.24501,60.78199,81.08304,9.30151
2316,20220923_171710,1663978630.063780780,3746823430.063780780,10.96823,90.44986,27.44191,-162.92274,-187.01713,-362.24070,60.78286,81.08365,9.30237
