index,x,y,z,B_x,B_y,B_z
98,-21.799999999999997,-316.63775510204084,-75.91265306122449,-1.006822009198089,-1.0276983832579845,-1.874153318581989
99,-21.799999999999997,-316.63775510204084,-74.28,-1.0237490176657786,-1.0357074513216276,-1.8785958485241707
100,-21.799999999999997,-306.0255102040816,-154.28000000000003,-0.16705909385888162,-0.6001884471600079,-1.5707760838670737
101,-21.799999999999997,-306.0255102040816,-152.64734693877554,-0.1819227735357174,-0.6084384465195853,-1.5817666479567691
102,-21.799999999999997,-306.0255102040816,-151.01469387755105,-0.19687387059477146,-0.6166993961207368,-1.592586213984717
103,-21.799999999999997,-306.0255102040816,-149.38204081632657,-0.211911525417662,-0.6249695454264383,-1.603236553512005
104,-21.799999999999997,-306.0255102040816,-147.74938775510208,-0.22703453861635126,-0.6332470643550892,-1.613719642141291
105,-21.799999999999997,-306.0255102040816,-146.1167346938776,-0.2422414008340752,-0.6415300542341242,-1.624037633483951
106,-21.799999999999997,-306.0255102040816,-144.4840816326531,-0.2575303229704673,-0.6498165592059308,-1.63419282878165
107,-21.799999999999997,-306.0255102040816,-142.85142857142858,-0.27289926277310883,-0.658104580376687,-1.6441876452065856
108,-21.799999999999997,-306.0255102040816,-141.2187755102041,-0.2883459424881778,-0.6663920918328472,-1.6540245858187461
109,-21.799999999999997,-306.0255102040816,-139.5861224489796,-0.303867852929784,-0.6746770554786394,-1.6637062135383758
110,-21.799999999999997,-306.0255102040816,-137.95346938775512,-0.3194622426745184,-0.6829574317525271,-1.673235130324457
111,-21.799999999999997,-306.0255102040816,-136.32081632653063,-0.3351260966138625,-0.6912311857757345,-1.6826139612593636
112,-21.799999999999997,-306.0255102040816,-134.68816326530614,-0.3508561140057793,-0.6994962921502861,-1.691845341800871
113,-21.799999999999997,-306.0255102040816,-133.05551020408166,-0.3666486997873051,-0.7077507444718663,-1.7009319055674297
114,-21.799999999999997,-306.0255102040816,-131.42285714285717,-0.38249998192844714,-0.7159925757617884,-1.7098762700708505
115,-21.799999999999997,-306.0255102040816,-129.79020408163268,-0.39840586158535984,-0.7242198929008623,-1.7186810188360937
116,-21.799999999999997,-306.0255102040816,-128.1575510204082,-0.4143620938441188,-0.7324309230233439,-1.7273486799635833
117,-21.799999999999997,-306.0255102040816,-126.52489795918369,-0.43036438862796444,-0.7406240651754388,-1.7358817026962328
118,-21.799999999999997,-306.0255102040816,-124.8922448979592,-0.4464085170347687,-0.7487979384422943,-1.7442824343769843
119,-21.799999999999997,-306.0255102040816,-123.25959183673471,-0.46249040895756366,-0.7569514187986783,-1.752553100131209
120,-21.799999999999997,-306.0255102040816,-121.62693877551023,-0.47860623201384556,-0.765083660132575,-1.760695786906055
121,-21.799999999999997,-306.0255102040816,-119.99428571428572,-0.4947524472568148,-0.7731940986162158,-1.7687124325552475
122,-21.799999999999997,-306.0255102040816,-118.36163265306124,-0.5109258418692377,-0.7812824425240592,-1.77660481983051
123,-21.799999999999997,-306.0255102040816,-116.72897959183675,-0.5271235420883897,-0.789348651190096,-1.784374574604115
124,-21.799999999999997,-306.0255102040816,-115.09632653061226,-0.5433430109369226,-0.797392907166568,-1.7920231674111164
125,-21.799999999999997,-306.0255102040816,-113.46367346938777,-0.559582035400922,-0.8054155851942255,-1.7995519173930319
126,-21.799999999999997,-306.0255102040816,-111.83102040816328,-0.5758387070527533,-0.8134172207679171,-1.8069619978390534
127,-21.799999999999997,-306.0255102040816,-110.1983673469388,-0.5921113992143034,-0.8213984802014238,-1.8142544426894034
128,-21.799999999999997,-306.0255102040816,-108.56571428571431,-0.6083987428684452,-0.8293601333264178,-1.8214301535290502
129,-21.799999999999997,-306.0255102040816,-106.93306122448982,-0.6246996027733758,-0.8373030293742545,-1.8284899067422486
130,-21.799999999999997,-306.0255102040816,-105.30040816326533,-0.6410130546669279,-0.845228076184469,-1.835434360608943
131,-21.799999999999997,-306.0255102040816,-103.66775510204083,-0.6573383640438522,-0.8531362226239594,-1.8422640622025597
132,-21.799999999999997,-306.0255102040816,-102.03510204081634,-0.6736749667117579,-0.8610284439605493,-1.8489794540090259
133,-21.799999999999997,-306.0255102040816,-100.40244897959185,-0.6900224511682609,-0.868905729862604,-1.8555808802198328
134,-21.799999999999997,-306.0255102040816,-98.76979591836735,-0.7063805427340526,-0.8767690746789185,-1.8620685926811404
135,-21.799999999999997,-306.0255102040816,-97.13714285714286,-0.7227490893257027,-0.8846194696644716,-1.8684427564942325
