# File: original data
# Date created: 12/08/2022
# Units: [cm], [G = 1e-4 T]
# Offset from original data used: [ 35.2  651.05  16.3 ] cm
#  + 
# Rotation about z axis: -110 degrees
# Resulting total origin shift: [ 599.74777172 -255.74939456   16.3       ] cm
# Comments: This data is interpolated from Takashi's summer 2019 data. The data has been shifted and rotated to, to match the origin and axes used in PENTrack STL files, as well as interpolated to a rectilinear grid in this rotated frame.
# x	y	z	B_x	B_y	B_z
3.205407825434780307e+02	-1.898534239299473256e+02	-2.179799999999999898e+02	-1.273316780492677935e+00	-8.071718300083787767e-01	-1.940999492930018278e+00
3.205407825434780307e+02	-1.450337902057289057e+02	-2.179799999999999898e+02	-8.716760851125400222e-01	-6.484156086098948890e-01	-1.259752803198750826e+00
3.205407825434780307e+02	-1.002141564815104857e+02	-2.179799999999999898e+02	-1.373482743775866766e-01	-2.952025421635084967e-01	-8.111019132095975692e-01
3.205407825434780307e+02	-5.539452275729206576e+01	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.205407825434780307e+02	-1.057488903307366002e+01	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.824345815961231665e+02	-4.139515925510394254e+02	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.824345815961231665e+02	-3.691319588268210055e+02	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.824345815961231665e+02	-3.243123251026025855e+02	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.824345815961231665e+02	-2.794926913783841655e+02	-2.179799999999999898e+02	-1.445030535309626885e+00	-2.789977779819707848e-02	-2.322973144489935748e+00
3.824345815961231665e+02	-2.346730576541657456e+02	-2.179799999999999898e+02	-1.224599059083288921e+00	-3.009920785482620431e-01	-1.910449406924925597e+00
3.824345815961231665e+02	-1.898534239299473256e+02	-2.179799999999999898e+02	-9.120921036796403314e-01	-3.115048792813581713e-01	-1.387986357821205274e+00
3.824345815961231665e+02	-1.450337902057289057e+02	-2.179799999999999898e+02	-5.926775082969015784e-01	-4.252299294032013677e-02	-9.008046096241457690e-01
3.824345815961231665e+02	-1.002141564815104857e+02	-2.179799999999999898e+02	-2.869226982178361141e-01	4.737092888375968869e-01	-7.140206726953692851e-01
3.824345815961231665e+02	-5.539452275729206576e+01	-2.179799999999999898e+02	-1.500886944734247663e-02	9.945740142889576418e-01	-7.119116015299482569e-01
3.824345815961231665e+02	-1.057488903307366002e+01	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.443283806487683023e+02	-4.139515925510394254e+02	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.443283806487683023e+02	-3.691319588268210055e+02	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.443283806487683023e+02	-3.243123251026025855e+02	-2.179799999999999898e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.443283806487683023e+02	-2.794926913783841655e+02	-2.179799999999999898e+02	-9.426545592787647365e-01	2.003633267765252413e-01	-1.768207416376725405e+00
4.443283806487683023e+02	-2.346730576541657456e+02	-2.179799999999999898e+02	-7.858614434096580226e-01	7.591843592456370970e-02	-1.500895921531764543e+00
4.443283806487683023e+02	-1.898534239299473256e+02	-2.179799999999999898e+02	-5.264734410943958665e-01	1.166701324803227635e-01	-1.189191700299289778e+00
4.443283806487683023e+02	-1.450337902057289057e+02	-2.179799999999999898e+02	-2.486560051201820443e-01	3.443156291229172439e-01	-8.814892082544076857e-01
4.443283806487683023e+02	-1.002141564815104857e+02	-2.179799999999999898e+02	-3.912767491047475232e-02	8.066923829769052645e-01	-7.174189972438824725e-01
4.443283806487683023e+02	-5.539452275729206576e+01	-2.179799999999999898e+02	1.614473461999068604e-01	1.284299471216598931e+00	-7.965242446442886148e-01
