index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
33,20220923_155847,1663973927.282256130,1663973929.814385410,0.000000,80.000,160.000,-2.250000,11.367,8.442,-2.250000,91.367,168.442,-1.293656E+1,2.017880E+2,-4.050980E+1,3.118065E-2,4.658326E-2,2.506266E-1
34,20220923_155858,1663973938.162148000,1663973940.243650440,0.000000,80.000,200.000,-2.250000,11.367,8.442,-2.250000,91.367,208.442,-5.771300E+0,2.062420E+2,-3.800960E+1,5.779200E-2,1.483240E-2,8.795908E-2
35,20220923_160021,1663974021.874742980,1663974024.392942430,40.000000,80.000,40.000,-2.250000,11.367,8.442,37.750000,91.367,48.442,-2.683600E+1,1.741480E+2,-4.323980E+1,5.344623E-2,1.414214E-2,9.971058E-2
36,20220923_160029,1663974029.602476600,1663974031.683117390,40.000000,80.000,80.000,-2.250000,11.367,8.442,37.750000,91.367,88.442,-2.289560E+1,1.809762E+2,-4.660240E+1,3.231204E-1,4.002124E-2,4.208087E-2
37,20220923_160037,1663974037.186660770,1663974039.680057530,40.000000,80.000,120.000,-2.250000,11.367,8.442,37.750000,91.367,128.442,-1.735098E+1,1.881958E+2,-4.679080E+1,1.689684E-1,2.660263E-2,3.311646E-2
38,20220923_160046,1663974046.306655410,1663974048.387526990,40.000000,80.000,160.000,-2.250000,11.367,8.442,37.750000,91.367,168.442,-1.070556E+1,1.941058E+2,-4.429020E+1,1.287900E-1,1.149783E-2,1.630031E-2
39,20220923_160056,1663974056.242645740,1663974058.323684690,40.000000,80.000,200.000,-2.250000,11.367,8.442,37.750000,91.367,208.442,-3.873020E+0,1.983580E+2,-4.059220E+1,2.390036E-2,8.746428E-3,7.164286E-2
40,20220923_160247,1663974167.514303210,1663974170.032659050,0.000000,0.000,40.000,-2.250000,11.367,8.442,-2.250000,11.367,48.442,-2.198560E+1,1.641596E+2,-4.496240E+1,1.991565E-1,2.377604E-2,4.388963E-2
41,20220923_160255,1663974175.115377430,1663974177.608822350,0.000000,0.000,80.000,-2.250000,11.367,8.442,-2.250000,11.367,88.442,-1.521932E+1,1.810370E+2,-5.210620E+1,2.836333E-1,1.155422E-2,2.960912E-2
42,20220923_160308,1663974188.746462340,1663974191.278558250,0.000000,0.000,120.000,-2.250000,11.367,8.442,-2.250000,11.367,128.442,-6.542680E+0,2.010500E+2,-5.255140E+1,6.636484E-2,2.345208E-2,9.616548E-2
43,20220923_160319,1663974199.323448660,1663974201.403788090,0.000000,0.000,160.000,-2.250000,11.367,8.442,-2.250000,11.367,168.442,-3.144620E+0,2.134320E+2,-4.343000E+1,1.465513E-1,4.472136E-3,4.659399E-2
44,20220923_160328,1663974208.491592880,1663974210.572405810,0.000000,0.000,200.000,-2.250000,11.367,8.442,-2.250000,11.367,208.442,1.032040E+0,2.161220E+2,-3.395260E+1,1.532867E-2,4.472136E-3,8.566680E-2
45,20220923_160445,1663974285.507931230,1663974288.014958380,40.000000,0.000,40.000,-2.250000,11.367,8.442,37.750000,11.367,48.442,-1.178576E+1,1.614056E+2,-5.003860E+1,6.608531E-2,4.393177E-3,1.711140E-2
46,20220923_160453,1663974293.604452610,1663974295.684727190,40.000000,0.000,80.000,-2.250000,11.367,8.442,37.750000,11.367,88.442,-1.027176E+1,1.749390E+2,-6.401020E+1,3.192872E-2,7.035624E-3,1.179830E-2
47,20220923_160500,1663974300.668200970,1663974302.748494620,40.000000,0.000,120.000,-2.250000,11.367,8.442,37.750000,11.367,128.442,-6.183660E+0,1.960972E+2,-6.558440E+1,4.111451E-2,1.198749E-2,3.798421E-2
48,20220923_160509,1663974309.795666220,1663974312.328447820,40.000000,0.000,160.000,-2.250000,11.367,8.442,37.750000,11.367,168.442,-1.725200E+0,2.090840E+2,-5.127300E+1,6.041726E-2,5.477226E-3,3.910243E-2
49,20220923_160518,1663974318.668535230,1663974320.750128750,40.000000,0.000,200.000,-2.250000,11.367,8.442,37.750000,11.367,208.442,5.141420E+0,2.104600E+2,-3.909260E+1,3.292039E-2,3.177644E-14,3.014631E-2
